CustomerID,ServiceID
1,2001
1,2002
1,2003
1,2004
1,2005
1,2006
1,2007
1,2008
1,2009
1,2010
1,2011
1,2012
1,2013
1,2014
1,2015
1,2016
1,2017
1,2018
1,2019
1,2020
1,2021
1,2022
1,2023
1,2024
1,2025
1,2026
1,2027
1,2028
1,2029
1,2030
1,3001
1,3002
1,3003
1,3004
1,3005
1,3006
1,3007
1,3008
1,3009
1,3010
1,3011
1,3012
1,3013
1,3014
1,3015
1,3016
1,3017
1,3018
1,3019
1,3020
1,3021
1,3022
1,3023
1,3024
1,3025
1,3026
1,3027
1,3028
1,3029
1,3030
1,5001
1,5002
1,5003
1,5004
1,5005
1,5006
1,5007
1,5008
1,5009
1,5010
1,5011
1,5012
1,5013
1,5014
1,5015
1,5016
1,5017
1,5018
1,5019
1,5020
1,5021
1,5022
1,5023
1,5024
1,5025
1,6001
1,6002
1,6003
1,6004
1,6005
1,6006
1,6007
1,6008
1,6009
1,6010
1,6011
1,6012
1,6013
1,6014
1,6015
1,6016
1,6017
1,6018
1,6019
1,6020
1,6021
1,6022
1,6023
1,6024
1,6025
1,4001
1,4002
1,4003
1,4004
1,4005
1,4006
1,4007
1,4008
1,4009
1,4010
1,4011
1,4012
1,4013
1,4014
1,4015
1,4016
1,4017
1,4018
1,4019
1,4020
1,4021
1,4022
1,4023
1,4024
1,4025
1,4026
1,4027
1,4028
1,4029
1,4030
1,4031
1,4032
1,4033
1,4034
1,4035
1,4036
1,4037
1,4038
1,4039
1,4040
1,8001
1,8002
1,8003
1,8004
1,8005
1,8006
1,8007
1,8008
1,8009
1,8010
1,8011
1,8012
1,8013
1,8014
1,8015
1,8016
1,8017
1,8018
1,8019
1,8020
1,8021
1,8022
1,8023
1,8024
1,8025
1,8026
1,8027
1,8028
1,8029
1,8030
1,7001
1,7002
1,7003
1,7004
1,7005
1,7006
1,7007
1,7008
1,7009
1,7010
1,7011
1,7012
1,7013
1,7014
1,7015
1,7016
1,7017
1,7018
1,7019
1,7020
1,7021
1,7022
1,7023
1,7024
1,7025
1,7026
1,7027
1,7028
1,7029
1,7030
2,2001
